################################################################################
# UK Earth System Model (UKESM1) data for Total Integrated Primary Production ( TotalIntegratedPrimaryProduction ) in [Gt/yr].
# Data prepared by Lee de Mora (ledm@pml.ac.uk) from Plymouth Marine Laboratory.
# Experiment type: Pre-industrial Control 
# jobID: u-aw310 
################################################################################

year, TotalIntegratedPrimaryProduction [Gt/yr]
1851.4136986301369, 48.37489686778234
1852.4136986301369, 48.398428038472574
1853.4136986301369, 48.625400927239795
1854.4136986301369, 48.52735832225926
1855.4136986301369, 47.10960683522618
1856.4136986301369, 47.18434779180909
1857.4136986301369, 48.28423172289143
1858.4136986301369, 46.73156054900815
1859.4136986301369, 47.67631273453568
1860.4136986301369, 48.295039452750345
1861.4136986301369, 48.98376438306647
1862.4136986301369, 48.42941481372755
1863.4136986301369, 47.63892808670145
1864.4136986301369, 48.08599203502906
1865.4136986301369, 47.777624950618765
1866.4136986301369, 47.81598074824105
1867.4136986301369, 48.029904788938865
1868.4136986301369, 48.045080715379314
1870.4136986301369, 47.42712073278322
1871.4136986301369, 47.37705770794876
1872.4136986301369, 47.230239307266395
1873.4136986301369, 47.922291239585114
1874.4136986301369, 47.99609997788415
1875.4136986301369, 49.33435337359096
1876.4136986301369, 49.3273669542979
1877.4136986301369, 48.418968243831195
1878.4136986301369, 47.71980902434588
1879.4136986301369, 48.55359339249387
1880.4136986301369, 46.86780588916151
1881.4136986301369, 47.71737890369872
1882.4136986301369, 48.16225334375636
1883.4136986301369, 48.604625455166186
1884.4136986301369, 48.40905976377717
1885.4136986301369, 48.54867296312312
1886.4136986301369, 48.794500072934845
1887.4136986301369, 48.30440383838748
1888.4136986301369, 47.893558606826694
1889.4136986301369, 47.63475788406558
1890.4136986301369, 48.40594453005977
1891.4136986301369, 47.24867323016782
1892.4136986301369, 47.37483903915772
1893.4136986301369, 49.20063059193542
1894.4136986301369, 49.43262018848015
1895.4136986301369, 48.703000232012215
1896.4136986301369, 47.65653219644557
1897.4136986301369, 47.67832706545465
1898.4136986301369, 47.298876909321756
1899.4136986301369, 47.19700418282428
1900.4136986301369, 47.344289616441074
1901.4136986301369, 47.162026421229946
1902.4136986301369, 48.08087867138671
1903.4136986301369, 46.68607970036812
